obj,endobj,stream,endstream,xref,trailer,startxref,Page,Encrypt,ObjStm,JS,Javascript,AA,OpenAction,AcroForm,JBIG2Decode,RichMedia,Launch,EmbeddedFile,XFA,Colors,Malicious
0.672186319,0.672186319,0.215099622,0.215099622,0.026887453,0.026887453,0.026887453,0.040331179,0,0,0,0,0,0,0,0,0,0,0,0,0,no
0.676481425,0.676481425,0.150329206,0.150329206,0,0.075164603,0.075164603,0,0,0,0.075164603,0.150329206,0,0,0,0,0,0,0,0,0,yes
0.654653671,0.654653671,0.21821789,0.21821789,0.072739297,0.072739297,0.072739297,0.072739297,0,0,0.072739297,0.145478593,0,0,0,0,0,0,0,0,0,yes
0.693375245,0.693375245,0.092450033,0.092450033,0.046225016,0.046225016,0.046225016,0.046225016,0,0,0.046225016,0.092450033,0,0,0.046225016,0,0,0,0,0,0,yes
0.668993608,0.668993608,0.167248402,0.167248402,0.083624201,0.083624201,0.083624201,0.083624201,0,0,0.083624201,0.083624201,0,0.083624201,0,0,0,0,0,0,0,yes
0.676481425,0.676481425,0.150329206,0.150329206,0,0.075164603,0,0.075164603,0,0,0.075164603,0.150329206,0,0,0,0,0,0,0,0,0,yes
0.68680282,0.68680282,0.091573709,0.091573709,0.045786855,0.045786855,0.045786855,0.045786855,0,0,0.091573709,0.137360564,0,0.045786855,0.045786855,0,0,0,0,0,0,yes
0.639957915,0.639957915,0.268369448,0.268369448,0.041287607,0.041287607,0.030965706,0.175472331,0,0.041287607,0,0,0,0,0,0,0,0,0,0,0,no
0.694234881,0.694234881,0.12816644,0.12816644,0.010680537,0.010680537,0.010680537,0.053402683,0,0,0,0,0,0,0.005340268,0,0,0,0,0,0,no
0.705903309,0.705903309,0.039373093,0.039373093,0.005624728,0.005624728,0.005624728,0.014061819,0,0,0,0,0,0.002812364,0,0,0,0,0,0,0,no
0.668993608,0.668993608,0.167248402,0.167248402,0.083624201,0.083624201,0.083624201,0.083624201,0,0,0.083624201,0.083624201,0,0.083624201,0,0,0,0,0,0,0,yes
0.665750286,0.665750286,0.18156826,0.18156826,0.121045507,0.121045507,0.121045507,0.060522753,0,0,0,0,0,0,0,0,0,0,0,0,0,no
